ICAO_Code,Airport_Name,City_Town,Country,Latitude_Decimal_Degrees,Longitude_Decimal_Degrees
LTCE,ERZURUM,ERZURUM,TURKEY,39.955999999999996,41.17
LTCF,KARS,KARS,TURKEY,40.562,43.115
LTCG,TRABZON,TRABZON,TURKEY,40.995,39.79
LTCH,SANLIURFA,SANLIURFA,TURKEY,37.092,38.846
LTCI,VAN,VAN,TURKEY,38.468,43.332
LTCJ,BATMAN,BATMAN,TURKEY,37.929,41.11600000000001
LTCK,MUS,MUS,TURKEY,38.754,41.661
LTCL,SIIRT,SIIRT,TURKEY,37.979,41.84
LTCM,SINOP,NINIOP,TURKEY,42.019,35.079
LTFA,KAKLIC,IZMIR,TURKEY,38.516999999999996,26.976999999999997
LTFB,EFES,IZMIR,TURKEY,37.951,27.329
LUBL,BALTI,SALTSY,MOLDOVA,47.838,27.781
LUKK,CHISINAU,KICHINAU FIR/ACC/COM,MOLDOVA,46.928000000000004,28.930999999999997
LWOH,OHRID,OHRID,FORMER MACEDONIA,41.18,20.741999999999997
LWSK,SKOPJE,SKOPJE,FORMER MACEDONIA,41.961000000000006,21.621
LXGB,GIBRALTAR,GIBRALTAR,GIBRALTAR,36.150999999999996,-5.349
LYBE,BEOGRAD,BEOGRAD,YUGOSLAVIA,44.818000000000005,20.309
LYPG,PODGORICA,PODGORICA,YUGOSLAVIA,42.358999999999995,19.252
LYPR,PRISTINA,PRISTINA,YUGOSLAVIA,42.573,21.035999999999998
LYTV,TIVAT,TIVAT,YUGOSLAVIA,42.403999999999996,18.723
LYVR,VRSAC,VRSAC,YUGOSLAVIA,45.147,21.31
LZIB,M R STEFANIK,BRATISLAVA,SLOVAKIA,48.17,17.212
LZKZ,KOSICE,KOSICE,SLOVAKIA,48.663000000000004,21.241
LZMC,MALACKY,MALACKY,SLOVAKIA,48.402,17.118
LZPP,PIESTANY,PIESTANY,SLOVAKIA,48.625,17.828
LZSL,SLIAC,SLIAC,SLOVAKIA,48.638000000000005,19.134
LZTN,TRENCIN,TRENCIN,SLOVAKIA,48.865,17.992
LZTT,TATRY,POPRAD,SLOVAKIA,49.073,20.241
LZZI,ZILINA,ZILINA,SLOVAKIA,49.232,18.614
MBNC,NORTH CAICOS,NORTH CAICOS,TURKS & CAICOS I.,21.916999999999998,-71.939
MBPV,PROVIDENCIALES,PROVIDENCIALES,TURKS & CAICOS I.,21.774,-72.266
MBSC,SOUTH CAICOS,SOUTH CAICOS,TURKS & CAICOS I.,21.516,-71.528
MDAB,ARROYO BARRIL,SAMANA,DOMINICAN REPUBLIC,19.199,-69.43
MDBH,MARIA MONTEZ INTERNATIONAL,BARAHONA,DOMINICAN REPUBLIC,18.250999999999998,-71.12
MDCR,CABO ROJO,CABO ROJO,DOMINICAN REPUBLIC,17.929000000000002,-71.645
MDCZ,CONSTANZA,CONSTANZA,DOMINICAN REPUBLIC,18.908,-70.72
MDHE,HERRERA INTERNATIONAL,SANTO DOMINGO,DOMINICAN REPUBLIC,18.471,-69.969
MDLR,LA ROMANA INTERNATIONAL,LA ROMANA,DOMINICAN REPUBLIC,18.452,-68.91199999999999
MDPC,PUNTA CANA INTERNATIONAL,PUNTA CANA,DOMINICAN REPUBLIC,18.567,-68.363
MDPP,GREGORIO LUPERON INTERNATIONAL,PUERTO PLATA,DOMINICAN REPUBLIC,19.757,-70.57
MDSD,LAS AMERICAS INTERNATIONAL,SANTO DOMINGO,DOMINICAN REPUBLIC,18.429000000000002,-69.669
MDSI,SAN ISIDRO AB,SAN ISIDORO,DOMINICAN REPUBLIC,18.504,-69.762
MDST,CIBAO INTERNATIONAL,SANTIAGO,DOMINICAN REPUBLIC,19.409000000000002,-70.616
MGBN,BANANERA,BANANERA,GUATEMALA,15.472999999999999,-88.837
MGCB,COBAN,COBAN,GUATEMALA,15.469000000000001,-90.40700000000001
MGGT,LA AURORA,GUATEMALA CITY,GUATEMALA,14.583,-90.52799999999999
MGPB,PUERTO BARRIOS,PUERTO BARRIOS,GUATEMALA,15.731,-88.584
MGPP,POPTUN,POPTUN,GUATEMALA,16.326,-89.417
MGQZ,QUEZALTENANGO,QUEZALTENANGO,GUATEMALA,14.865,-91.50200000000001
MGRT,RETALHULEU,RETALHULEU,ARGENTINA,14.520999999999999,-91.697
MGSJ,SAN JOSE,SAN JOSE,GUATEMALA,13.936,-90.836
MHIC,ISLAS DEL CISNE,ISLAS DEL CISNE,HONDURAS,17.407,-83.93299999999999
MHLC,GOLOSON INTERNATIONAL,LA CEIBA,HONDURAS,15.742,-86.853
MHLM,LA MESA INTERNATIONAL,SAN PEDRO SULA,HONDURAS,15.452,-87.92299999999999
MHNJ,GUANAJA,GUANAJA,HONDURAS,16.445,-85.906
MHPL,PUERTO LEMPIRA,PUERTO LEMPIRA,HONDURAS,15.261,-83.781
MHRO,ROATAN,ROATAN,HONDURAS,16.317,-86.522
MHTE,TELA,TELA,HONDURAS,15.776,-87.476
MHTG,TONCONTIN INTERNATIONAL,TEGUCIGALPA,HONDURAS,14.061,-87.21700000000001
MHTJ,TRUJILLO,TRUJILLO,HONDURAS,15.927,-85.93799999999999
MKBS,BOSCOBEL,OCHO RIOS,JAMAICA,18.404,-76.969
MKJP,NORMAN MANLEY INTERNATIONAL,KINGSTON,JAMAICA,17.936,-76.78699999999999
MKJS,SANGSTER INTERNATIONAL,MONTEGO BAY,JAMAICA,18.504,-77.913
MKKJ,KEN JONES,PORT ANTONIO,JAMAICA,18.199,-76.53399999999999
MKTP,TINSON PEN,KINGSTON,JAMAICA,17.988,-76.824
MMAA,GENERAL JUAN N ALVAREZ INTERNATIONAL,ACAPULCO,MEXICO,16.757,-99.75299999999999
MMAN,DEL NORTE INTERNATIONAL,MONTERREY,MEXICO,25.866,-100.23700000000001
MMAS,JESUS TERAN INTERNATIONAL,AGUASCALIENTES,MEXICO,21.705,-102.318
MMBT,BAHIAS DE HUATULCO INTERNATIONAL,BAHIAS DEHUATULCO,MEXICO,15.775,-96.26100000000001
MMCB,CUERNAVACA,CUERNAVACA,MEXICO,18.835,-99.262
MMCC,CIUDAD ACUNA INTERNATIONAL,CIUDAD ACUNA,BRAZIL,29.331999999999997,-100.98100000000001
MMCE,CIUDAD DEL CARMEN INTERNATIONAL,CIUDAD DEL CARMEN,MEXICO,18.654,-91.79899999999999
MMCG,NUEVO CASAS GRANDES,NUEVO CASAS GRANDES,MEXICO,30.397,-107.875
MMCH,CHILPANCINGO,CHILPANCINGO,MEXICO,17.574,-99.514
MMCL,CULIACAN INTERNATIONAL,CULIACAN,MEXICO,24.764,-107.47399999999999
MMCM,CHETUMAL INTERNATIONAL,CHETUMAL,MEXICO,18.504,-88.32700000000001
MMCN,CIUDAD OBREGON INTERNATIONAL,CIUDAD OBREGON,MEXICO,27.392,-109.833
MMCP,INGENIERO ALBERTO ACUNA ONGAY INTERNATIONAL,CAMPECHE,MEXICO,19.817,-90.5
MMCS,ABRAHAM GONZALEZ INTERNATIONAL,CIUDAD JUAREZ,MEXICO,31.636,-106.429
MMCU,GENERAL R FIERRO VILLALOBOS INTERNATIONAL,CHIHUAHUA,MEXICO,28.703000000000003,-105.964
MMCV,CIUDAD VICTORIA,CIUDAD VICTORIA,MEXICO,23.704,-98.956
MMCY,CELAYA,CELAYA,MEXICO,20.546,-100.88600000000001
